stamp	arm	exit	job_class	N	ns_median	ns_mean	ns_min	ns_max	ns_stdev	wall_median	ops_mean	outer_real
20260812T173934Z	R-free	ok	mint_consume	200000000	1.8891	1.8887	1.8872	1.8899	0.0014	0.377826	529453942.08	3.435
20260812T173934Z	R-gc-shape	ok	mint_consume	200000000	0.6134	0.6138	0.6129	0.6152	0.0012	0.122671	1629188093.57	1.044
20260812T173934Z	R-boehm	ok	mint_consume	200000000	17.9711	17.6613	17.0162	17.9966	0.5588	3.594224	56659412.09	28.125
20260812T173934Z	R-lean	ok	mint_consume	50000000	6.6897	6.5259	6.1978	6.6901	0.2841	0.334484	153435552.58	3.208
20260812T173934Z	R-free-compose	ok	compose	10000000	39.7589	40.0603	39.5007	40.9212	0.7567	0.397589	24968253.65	3.835
20260812T173934Z	R-gc-shape-compose	ok	compose	10000000	10.0805	10.0994	10.0580	10.1598	0.0535	0.100805	99017059.03	0.872
