stamp	arm	exit	job_class	N	ns_median	ns_mean	ns_min	ns_max	ns_stdev	wall_median	ops_mean	outer_real
20260812T181445Z	R-free	ok	mint_consume	200000000	0.6164	0.6167	0.6148	0.6189	0.0021	0.123278	1621536611.36	1.287
20260812T181445Z	R-gc-shape	ok	mint_consume	200000000	0.6171	0.6190	0.6158	0.6240	0.0044	0.123417	1615683901.17	1.067
20260812T181445Z	R-boehm	ok	mint_consume	200000000	18.5725	18.4899	18.1201	18.7771	0.3362	3.714499	54095566.23	30.052
20260812T181445Z	R-lean	ok	mint_consume	50000000	6.4041	8.6990	6.4005	13.2923	3.9780	0.320204	129206533.41	3.501
20260812T181445Z	R-free-compose	ok	compose	10000000	25.4574	25.4832	25.4240	25.5683	0.0755	0.254574	39241752.23	2.662
20260812T181445Z	R-gc-shape-compose	ok	compose	10000000	11.5406	12.2705	10.5683	14.7026	2.1616	0.115406	83096194.88	1.105
