stamp	arm	exit	job_class	N	ns_median	ns_mean	ns_min	ns_max	ns_stdev	wall_median	ops_mean	outer_real
20260812T181621Z	R-free	ok	mint_consume	200000000	1.4191	1.3629	1.2263	1.4433	0.1189	0.283819	737666067.78	3.436
20260812T181621Z	R-gc-shape	ok	mint_consume	200000000	1.2063	1.2141	1.0452	1.3909	0.1730	0.241267	834907231.06	2.536
20260812T181621Z	R-boehm	ok	mint_consume	200000000	29.6849	29.4004	28.2791	30.2371	1.0095	5.936983	34040299.78	48.108
20260812T181621Z	R-lean	ok	mint_consume	50000000	17.4417	17.3953	16.2129	18.5312	1.1599	0.872084	57658720.71	8.367
20260812T181621Z	R-free-compose	ok	compose	10000000	72.5726	69.1781	56.1375	78.8243	11.7181	0.725726	14759716.06	7.498
20260812T181621Z	R-gc-shape-compose	ok	compose	10000000	31.5611	30.4666	27.3582	32.4806	2.7310	0.315611	33008091.46	2.768
