stamp	arm	exit	job_class	N	ns_median	ns_mean	ns_min	ns_max	ns_stdev	wall_median	ops_mean	outer_real
20260812T192951Z	R-free	ok	mint_consume	200000000	0.6645	0.6552	0.6273	0.6739	0.0246	0.132893	1527648851.96	1.363
20260812T192951Z	R-gc-shape	ok	mint_consume	200000000	0.6748	0.6801	0.6308	0.7347	0.0522	0.134952	1476177958.46	1.160
20260812T192951Z	R-stack-twin	ok	mint_consume	200000000	0.6336	0.6346	0.6323	0.6380	0.0030	0.126714	1575749764.47	1.097
20260812T192951Z	R-boehm	ok	mint_consume	200000000	18.7710	18.7495	18.4834	18.9941	0.2560	3.754192	53341495.00	30.421
20260812T192951Z	R-lean	ok	mint_consume	50000000	7.4700	7.3178	6.9541	7.5292	0.3164	0.373500	136828389.82	4.036
20260812T192951Z	R-free-compose	ok	compose	10000000	17.5277	18.0603	17.4279	19.2254	1.0102	0.175277	55482187.99	2.143
20260812T192951Z	R-gc-shape-compose	ok	compose	10000000	10.6737	10.6944	10.6698	10.7396	0.0392	0.106737	93508090.75	0.972
20260812T192951Z	R-fail-closed-shape	ok	compose	10000000	18.2351	18.0769	17.7349	18.2607	0.2965	0.182351	55329140.21	1.568
